小区名称,小区参考均价,90天成交数,当前出租数,所在地区,详细地址,建成年份
省医疗器械药品公司宿舍,"('6916', '元/m')",90天成交0套,3套正在出租,雨花,东塘,1998年建成
塑料公司宿舍,"('6920', '元/m')",90天成交0套,1套正在出租,雨花,左家塘,1992年建成
三0一佳园,"('6921', '元/m')",90天成交0套,4套正在出租,雨花,汽车南站,2000年建成
赤新路52号,"('6926', '元/m')",90天成交0套,0套正在出租,雨花,左家塘,未知年建成
曙光妹子山社区,"('6933', '元/m')",90天成交2套,11套正在出租,雨花,桂花村,1975年建成
长远华樟名府,"('6934', '元/m')",90天成交0套,49套正在出租,雨花,尚东,1990年建成
省生物药厂宿舍,"('6935', '元/m')",90天成交1套,4套正在出租,雨花,左家塘,2000年建成
正圆小区 ,"('6942', '元/m')",90天成交3套,15套正在出租,雨花,树木岭,1984年建成
雨花区农行宿舍,"('6946', '元/m')",90天成交0套,0套正在出租,雨花,窑岭,1985年建成
上河国际A区,"('6946', '元/m')",90天成交0套,12套正在出租,雨花,高桥,2007年建成
湖南省女子监狱宿舍,"('6947', '元/m')",90天成交1套,8套正在出租,雨花,喜盈门,1981年建成
省有色冶金劳保所宿舍,"('6952', '元/m')",90天成交0套,0套正在出租,雨花,树木岭,2004年建成
凤凰商贸城,"('6956', '元/m')",90天成交0套,5套正在出租,雨花,左家塘,1998年建成
高升家园B区,"('6960', '元/m')",90天成交0套,7套正在出租,雨花,德思勤,2004年建成
自然小区,"('6962', '元/m')",90天成交0套,2套正在出租,雨花,树木岭,1988年建成
人才楼,"('6966', '元/m')",90天成交0套,0套正在出租,雨花,井湾子,1994年建成
路桥社区,"('6970', '元/m')",90天成交1套,22套正在出租,雨花,韶山南路,1993年建成
中国轻总会长沙设计院,"('6974', '元/m')",90天成交0套,0套正在出租,雨花,韶山南路,未知年建成
华翼府,"('6987', '元/m')",90天成交0套,20套正在出租,雨花,韶山南路,1990年建成
中建五局,"('6988', '元/m')",90天成交0套,0套正在出租,雨花,韶山南路,2007年建成
黎郡新宇康景园,"('6995', '元/m')",90天成交0套,4套正在出租,雨花,武广新城,2000年建成
城市快线,"('6998', '元/m')",90天成交0套,5套正在出租,雨花,雨花亭,未知年建成
长钢社区,"('7000', '元/m')",90天成交2套,4套正在出租,雨花,桂花村,1994年建成
湖南省农村能源办公室宿舍,"('7003', '元/m')",90天成交0套,0套正在出租,雨花,桂花村,1985年建成
几米空间,"('7003', '元/m')",90天成交1套,44套正在出租,雨花,赤岗冲,2004年建成
国家林业局中南林业调查规划设计院,"('7006', '元/m')",90天成交1套,2套正在出租,雨花,武广新城,1990年建成
上河国际F区,"('7007', '元/m')",90天成交1套,29套正在出租,雨花,高桥,2007年建成
省百纺大院,"('7007', '元/m')",90天成交1套,13套正在出租,雨花,左家塘,1983年建成
2076至高点,"('7014', '元/m')",90天成交0套,16套正在出租,雨花,左家塘,2008年建成
雅塘村小区,"('7017', '元/m')",90天成交1套,0套正在出租,雨花,韶山南路,1991年建成
营山巷,"('7027', '元/m')",90天成交0套,3套正在出租,雨花,左家塘,1990年建成
